"id","company","companyCn","booth","exhibition","province","city","regionType","website","email","phone","contactName","contactStatus","contactSource","years","stage","priority","owner","lastContact","nextFollowUp","intendedArea","notes","hasGuangdongAffiliate","exhibitions","officialProfileUrl","officialAddress","productGroups","contactEmail","contactPhone","profileExtra"
"136","Auroras Innotech (Guangdong) Co., Ltd","","C4.758","Intersolar Europe","广东省","待核实","广东非深圳","","","","","待核实","","[""2024""]","未联系","中","","","","","","false","[{""company"":""Auroras Innotech (Guangdong) Co., Ltd"",""companyCn"":"""",""booth"":""C4.758"",""exhibition"":""Intersolar Europe"",""event"":""The smarter E Europe"",""year"":""2024"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":10}]","","","","","",""
"137","Dekuma Rubber and Plastic Technology (Dongguan) Ltd.","","S1.G48","Middle East Energy","广东省","东莞市","广东非深圳","","","","","待核实","","[""2023""]","未联系","中","","","","","","false","[{""company"":""Dekuma Rubber and Plastic Technology (Dongguan) Ltd."",""companyCn"":"""",""booth"":""S1.G48"",""exhibition"":""Middle East Energy"",""event"":""Middle East Energy"",""year"":""2023"",""sourceFile"":""Middle East Energy 2023 Exhibitor Directory.pdf"",""sourcePage"":2}]","","","","","",""
"6","Dongguan Add Electricity New Energy Technology Co., Ltd.","","C6.670","Power2Drive Europe","广东省","东莞市","广东非深圳","https://www.gocean.com","","","","The smarter E官方官网已核验","https://www.thesmartere.de/exhibitorlist/dongguan-add-electricity-new-energy-technology-co-ltd","[""2026""]","未联系","中","","","","","","false","[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""Power2Drive Europe"",""booth"":""C6.670"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":2}]","https://www.thesmartere.de/exhibitorlist/dongguan-add-electricity-new-energy-technology-co-ltd","Dongguan Add Electricity New Energy Technology Co., Ltd.Room 201, Building 2, No. 25 ShangtunYuanyilu Road, Liaobu Town, Dongguan City523000 Guangdong, China","[""AC charging systems"",""DC charging systems"",""Other charging systems (portable, inductive, etc.)"",""Charging cables, connector and cable routing systems, housings and other hardware"",""User interface, backend, ICT, software and apps""]","","",""
"10","Dongguan Helicheng Industrial Technology Co Ltd","","C2.470","ees Europe","广东省","东莞市","广东非深圳","https://www.hlc-metalparts.com","","","","The smarter E官方目录已核验","https://www.thesmartere.de/exhibitorlist/dongguan-helicheng-industrial-technology-co-ltd","[""2026""]","未联系","中","","","","","","false","[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""ees Europe"",""booth"":""C2.470"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":2}]","https://www.thesmartere.de/exhibitorlist/dongguan-helicheng-industrial-technology-co-ltd","Dongguan Helicheng Industrial Technology Co., LtdBuilding 4, No.2 Dongsheng Industrial Road, Fenggang Town523696 Dongguan, China","[""Contacts, wiring, insulation for batteries"",""Battery Materials"",""Manufacturing equipment for battery module production/assembly and system installation/assembly""]","sales@hlc-metalparts.com","",""
"139","Dongguan LongTTech Company Ltd.","","B1.370","ees Europe","广东省","东莞市","广东非深圳","","","","","待核实","","[""2024""]","未联系","中","","","","","","false","[{""company"":""Dongguan LongTTech Company Ltd."",""companyCn"":"""",""booth"":""B1.370"",""exhibition"":""ees Europe"",""event"":""The smarter E Europe"",""year"":""2024"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":29}]","","","","","",""
"12","Dongguan Wiltson New Energy Technology CO., LTD.","","B0.244","ees Europe","广东省","东莞市","广东非深圳","https://www.wiltsonenergy.com","","","","The smarter E官方目录已核验","https://www.thesmartere.de/exhibitorlist/dongguan-wiltson-new-energy-technology-co-ltd","[""2026""]","未联系","中","","","","","","false","[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""ees Europe"",""booth"":""B0.244"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":2}]","https://www.thesmartere.de/exhibitorlist/dongguan-wiltson-new-energy-technology-co-ltd","Dongguan Wiltson New Energy Technology CO., LTD.101, 3 Nengda Road, Shipai, Dongguan, Guangdong, China523300 Dongguan, China","[""Tracking systems"",""Lithium-based batteries"",""Energy Storage for low-capacity mobile applications (smartphones, laptops, tablets, etc.)""]","sales@wiltsonenergy.com","+86 18566732273",""
"140","Dongguan XSD Cable Technology Co., Ltd.","","C2.370","ees Europe","广东省","东莞市","广东非深圳","","","","","待核实","","[""2025""]","未联系","中","","","","","","false","[{""company"":""Dongguan XSD Cable Technology Co., Ltd."",""companyCn"":"""",""booth"":""C2.370"",""exhibition"":""ees Europe"",""event"":""The smarter E Europe"",""year"":""2025"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":13}]","","","","","",""
"141","Foshan Xtra Power Technology Co., LTD","","S2.E63","Middle East Energy","广东省","佛山市","广东非深圳","","","","","待核实","","[""2023""]","未联系","中","","","","","","false","[{""company"":""Foshan Xtra Power Technology Co., LTD"",""companyCn"":"""",""booth"":""S2.E63"",""exhibition"":""Middle East Energy"",""event"":""Middle East Energy"",""year"":""2023"",""sourceFile"":""Middle East Energy 2023 Exhibitor Directory.pdf"",""sourcePage"":4}]","","","","","",""
"143","GUANGDONG PATTERN NEW ENERGY CO.,LTD","","S1.C65 & S1.C65","Middle East Energy","广东省","待核实","广东非深圳","","","","","待核实","","[""2023""]","未联系","中","","","","","","false","[{""company"":""GUANGDONG PATTERN NEW ENERGY CO.,LTD"",""companyCn"":"""",""booth"":""S1.C65 & S1.C65"",""exhibition"":""Middle East Energy"",""event"":""Middle East Energy"",""year"":""2023"",""sourceFile"":""Middle East Energy 2023 Exhibitor Directory.pdf"",""sourcePage"":4}]","","","","","",""
"144","GUANGDONG YAOSHENG SOLAR ENERGY","","C2.373","Intersolar Europe","广东省","待核实","广东非深圳","","","","","待核实","","[""2025""]","未联系","中","","","","","","false","[{""company"":""GUANGDONG YAOSHENG SOLAR ENERGY"",""companyCn"":"""",""booth"":""C2.373"",""exhibition"":""Intersolar Europe"",""event"":""The smarter E Europe"",""year"":""2025"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":23},{""company"":""GUANGDONG YAOSHENG SOLAR ENERGY"",""companyCn"":"""",""booth"":""A1.514"",""exhibition"":""Intersolar Europe"",""event"":""The smarter E Europe"",""year"":""2025"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":23}]","","","","","",""
