"companyId","companyCn","website","contactStatus","contactSource","industry","industryTags","stage","priority","owner","contactName","contactPhone","contactEmail","intendedArea","intentionType","lastContact","nextFollowUp","notes","contractStatus","contractNumber","contractAmount","depositAmount","depositPaidDate","applicationStatus","balanceAmount","balanceDueDate","paymentStatus","contractNotes","profileExtra","updatedAt"
"1","深圳市电科电源股份有限公司","https://www.bstess.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","Xinyun Li","+0086-755-84260300","sales@bstbattery.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.bstess.com""},""historicalExhibitionEvidence"":[{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B1.571"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":17},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B1.675"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":9}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:05:30.389Z"
"2","深圳市小湾智能有限公司","https://www.bayrobot.cn","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/bayrobot-co-ltd-shenzhen-china","新能源与储能","[]","已联系","高","杨维全","杨维全","+86-755-2690 6686","service@bayrobot.cn","30","","","2026-07-16","已经联系报价，等回复","未签订","","","","","未提交","","","未收款","","{""unifiedSocialCreditCode"":""91440300MA5GPT2K2W"",""creditStatus"":""人工填写"",""legalRepresentative"":""杨维全"",""registeredCapital"":""1111.11万元"",""registeredAddress"":""深圳市南山区粤海街道高新区社区高新南七道018号高新工业村R3-B座618"",""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/bayrobot-co-ltd-shenzhen-china""}}","2026-07-15T10:45:35.234Z"
"3","东莞市海能新能源技术有限公司","https://www.hinen.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","","+86 (769)89920666 ext 8318","market@hinen.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.hinen.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C2.280"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":13},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B2.475"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":16}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:30.236Z"
"4","东莞市思普太阳能科技有限公司","https://www.slocable.com.cn","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","已联系","低","","Joyce","0769-22010201","sales4@slocable.com.cn","0","","","","跟中展跑了，这个没良心的","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.slocable.com.cn""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""C4.190"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":13},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""B3.151"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":29},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""FM.704/53"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":16}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:30.262Z"
"5","东莞市永晟电线科技股份有限公司","https://www.ys-cables.com/","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","已联系","高","邹昊洋","13326893885","+86 13723538691","masteryw1@dgysdx.com","36","","","2026-07-17","永晟已经报名27年的展会，但是具体需要跟景雪沟通27年他们的展位具体情况","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.ys-cables.com/""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""C6.620"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":13},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""Power2Drive Europe"",""booth"":""C6.119"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":30},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""Power2Drive Europe"",""booth"":""B6.380"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":16}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:30.230Z"
"6","东莞加电新能源科技有限公司","https://www.adpow.com","官网联系方式已核验","企业官网公开联系页面（2026-07-15核验）","新能源与储能","[]","已联系","高","沈彪","吴小姐 Koi","+86 19309626919","contact@adpow.com","18","","","2026-07-16","2027欧洲智慧能源展加电方案：①27年B6还有标摊岛的情况下，给一个18平米双开位置，需要绑定巴西9平米展位。②如果在B6没标摊岛的情况下，C6，C5的岛里选择一个18平米的标摊位置。③如果以上两个方案都没选择，可以独立申请，9或者18独立标准摊位，位置无法确定。 已联系沈总等待提交申请表","未签订","","","","","未提交","","","未收款","","{""unifiedSocialCreditCode"":""91441900MAERXP3Y21"",""creditStatus"":""人工填写"",""legalRepresentative"":""吴宜娴"",""registeredCapital"":""100万元"",""registeredAddress"":""广东省东莞市寮步镇上屯聚园一路25号2栋201室"",""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.97,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网"",""sourceUrl"":""https://www.adpow.com""}}","2026-07-15T10:48:07.751Z"
"7","东莞市诺溢铭实业有限公司","https://www.noimia.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","","86-0769-81763946","nym@noimia.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.noimia.com""},""historicalExhibitionEvidence"":[{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""Power2Drive Europe"",""booth"":""B6.250"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":29}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:34.023Z"
"8","东莞市典威技术股份有限公司","https://www.devalan.cn/","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/dongguan-vaconn-electronics-coltd","新能源与储能","[]","已联系","高","","","18002952293","devalan.sales@devalan.com.cn","36","","","","会有新的总监或者负责人来跟进27年欧洲智慧能源展","未签订","","","","","已提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/dongguan-vaconn-electronics-coltd""}}","2026-07-15T10:43:46.110Z"
"9","东莞市维能新能源有限公司","https://www.genixgreen.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","已联系","高","鲁杨利  Lily","","18922989831","sales13@genixgreen.com","25","","","2026-07-16","已发送申请表，等确认回传","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.genixgreen.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""C3.373"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":13},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C1.775"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":30},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B0.350"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":16}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:30.251Z"
"10","东莞市和立成工业科技有限公司","https://www.hlc-metalparts.com","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/dongguan-helicheng-industrial-technology-co-ltd","新能源与储能","[]","未联系","中","","徐旺","15387551401","sales@hlc-metalparts.com","","","","","","未签订","","","","","未提交","","","未收款","","{""unifiedSocialCreditCode"":""91441900MAE6U8KW2W"",""creditStatus"":""人工填写"",""legalRepresentative"":""阳丽芝"",""registeredCapital"":""100万"",""registeredAddress"":""广东省东莞市凤岗镇东升工业路2号4号楼"",""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/dongguan-helicheng-industrial-technology-co-ltd""}}","2026-07-15T10:43:31.793Z"
"12","东莞市威特盛新能源科技有限公司￼￼","https://www.wiltsonenergy.com","联系方式已整理，中文工商主体待人工确认","企业官网 Contact 页面（2026-07-15核验）","新能源与储能","[]","未联系","中","","","+86-769-81007293","sales@wiltsonenergy.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.85,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/dongguan-wiltson-new-energy-technology-co-ltd""},""unifiedSocialCreditCode"":""9144 1900 MA4U K2AU 51"",""creditStatus"":""人工填写"",""registeredAddress"":""广东省东莞市石排镇田寮能达路3号101室"",""masterCompany"":""Dongguan Wiltson New Energy Technology CO., LTD."",""masterProvince"":""广东省"",""masterCity"":""东莞市"",""masterExhibitions"":[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""ees Europe"",""booth"":""B0.244"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":2}]}","2026-07-16T07:09:10.398Z"
"13","广东爱普拉新能源技术股份有限公司","https://www.evaisun.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","","86-769-8281-6073","Sales@evaisun.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.evaisun.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B6.270"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":22}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:44.343Z"
"14","广东倍锂新能源科技有限公司","https://www.belybattery.com","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/guangdong-bely-energy-technology-co-ltd","新能源与储能","[]","未联系","中","","","+86769-85600021","sales@szbely.com","","","","","","未签订","","","","","未提交","","","未收款","","{""unifiedSocialCreditCode"":""9144 1900 MA56 U88G 90"",""creditStatus"":""人工填写"",""registeredAddress"":""广东省东莞市大岭山镇大塘莲峰一横路15号4栋801室"",""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-bely-energy-technology-co-ltd""}}","2026-07-15T10:43:34.645Z"
"15","广东晓鸟动力技术有限公司","https://www.ffdpower.com","历年展商资料已整理，联系方式待人工抽检","企业官网公开联系页面（2026-07-15核验）","新能源与储能","[]","未联系","中","","Li Xu","+86 13377773990","sales@ffdtec.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.ffdpower.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B1.290"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":22},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C2.150"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":52}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:42.962Z"
