"projectId","companyId","status","boothType","area","boothCount","hallNumber","boothNumber","openingType","locationNotes","confirmedAt","confirmedBy","sourceSnapshot","updatedAt"
"1784007566257","1784279256564","已确认","光地展位","147","16.3","A1","430","三面开","","2026-07-18T05:26:50.850Z","","{""priceTier"":""早鸟价"",""unitPrice"":2967,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-18T17:21:12.179Z""}","2026-07-18T17:21:14.577Z"
"1784007566257","2","待确认","光地展位","","","","","待确认","","","","{}","2026-07-18T04:23:51.457Z"
"1784007566257","6","已确认","中国展团标准展位","18","2","B6","待分配","双开口","","2026-07-16T10:43:17.236Z","","{""id"":-6,""hall"":""B6"",""number"":""待分配"",""area"":18,""type"":""中国展团标准展位"",""openings"":""双开口"",""notes"":""""}","2026-07-18T04:23:51.547Z"
"1784007566257","25","待确认","独立标准展位","","","C5","355","单面开","","","","{""priceTier"":""正常价"",""unitPrice"":0,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-18T17:50:20.791Z""}","2026-07-18T17:50:22.510Z"
"1784007566257","28","待确认","光地展位","0","","","待分配","暂未确定","","","","{""priceTier"":""正常价"",""unitPrice"":3162,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:50:01.220Z""}","2026-07-19T03:50:03.633Z"
"1784007566257","38","已确认","独立标准展位","18","2","","待分配","暂未确定","","2026-07-16T01:59:07.189Z","","{""id"":-38,""hall"":"""",""number"":""待分配"",""area"":18,""type"":""独立标准展位"",""openings"":""暂未确定"",""notes"":""""}","2026-07-18T04:23:52.424Z"
"1784007566257","51","待确认","独立标准展位","","","","","待确认","","","","{}","2026-07-18T04:23:52.585Z"
"1784007566257","133","已确认","独立标准展位","9","1","","","单面开","","2026-07-16T09:49:05.719Z","","{""priceTier"":""正常价"",""unitPrice"":55000,""priceSource"":""人工确认"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:48:11.541Z""}","2026-07-19T03:48:11.692Z"
"1784007566257","1784278016964","待确认","待确认","","","","","单面开","","","","{}","2026-07-18T14:55:35.350Z"
"1784199164121","1784279256564","已确认","中国区标准展位","9","1","2","210","单面开","","2026-07-18T17:52:14.689Z","","{""priceTier"":""正常价"",""unitPrice"":39800,""priceSource"":""人工确认"",""priceVersion"":""当前项目价格"",""currency"":""CNY"",""frozenAt"":""2026-07-18T17:52:14.575Z""}","2026-07-18T17:52:14.689Z"
"1784007566257","128","待确认","待确认","80","8.9","","","单面开","","","","{""priceTier"":""项目标准价"",""unitPrice"":0,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:44:55.003Z""}","2026-07-19T03:44:57.558Z"
"1784007566257","36","待确认","光地展位","75","8.3","A4","","待确认","","","","{""priceTier"":""早鸟价"",""unitPrice"":2712,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:49:50.051Z""}","2026-07-19T03:49:50.200Z"
"1784007566257","86","待确认","光地展位","40","4.4","B3","","待确认","","","","{""priceTier"":""早鸟价"",""unitPrice"":2712,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:49:31.672Z""}","2026-07-19T03:49:31.818Z"
"1784007566257","29","待确认","独立标准展位","20","2.2","A6","","待确认","","","","{""priceTier"":""项目标准价"",""unitPrice"":55000,""priceSource"":""人工确认"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:50:59.147Z""}","2026-07-19T03:50:59.295Z"
"1784007566257","33","待确认","光地展位","20","2.2","A6","","待确认","","","","{""priceTier"":""早鸟价"",""unitPrice"":2712,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:51:21.061Z""}","2026-07-19T03:51:23.110Z"
"1784007566257","1784001020425","待确认","中国区标准展位","18","2","C6","","待确认","","","","{""priceTier"":""项目标准价"",""unitPrice"":55000,""priceSource"":""人工确认"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:51:49.647Z""}","2026-07-19T03:51:49.789Z"
"1784007566257","54","待确认","光地展位","28","3.1","A4","","待确认","","","","{""priceTier"":""正常价"",""unitPrice"":3162,""priceSource"":""项目价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:53:04.930Z""}","2026-07-19T03:53:05.074Z"
"1784007566257","9","待确认","光地展位","45","5","C1","","待确认","","","","{""priceTier"":""特殊价格"",""unitPrice"":3730,""priceSource"":""人工特殊价格"",""priceVersion"":""2027"",""currency"":""CNY"",""frozenAt"":""2026-07-19T03:53:34.470Z""}","2026-07-19T03:53:34.628Z"
